{'opt': 'adam', 'truncate': -1, 'feat': 'basic', 'activation': ['bi-relu'], 'drates': [0, 0], 'sample': False, 'epoch': 1, 'bias': [1], 'lr': 0.005, 'fepoch': 400, 'hidden': [50], 'data': '', 'norm': 7.0}
['c= ', 'c=!', 'c="', 'c=$', 'c=%', 'c=&', "c='", 'c=(', 'c=)', 'c=*', 'c=+', 'c=,', 'c=-', 'c=.', 'c=/', 'c=0', 'c=1', 'c=2', 'c=3', 'c=4', 'c=5', 'c=6', 'c=7', 'c=8', 'c=9', 'c=:', 'c=;', 'c==', 'c=?', 'c=@', 'c=A', 'c=B', 'c=C', 'c=D', 'c=E', 'c=F', 'c=G', 'c=H', 'c=I', 'c=J', 'c=K', 'c=L', 'c=M', 'c=N', 'c=O', 'c=P', 'c=Q', 'c=R', 'c=S', 'c=T', 'c=U', 'c=V', 'c=W', 'c=X', 'c=Y', 'c=Z', 'c=[', 'c=]', 'c=`', 'c=a', 'c=b', 'c=c', 'c=d', 'c=e', 'c=f', 'c=g', 'c=h', 'c=i', 'c=j', 'c=k', 'c=l', 'c=m', 'c=n', 'c=o', 'c=p', 'c=q', 'c=r', 'c=s', 'c=t', 'c=u', 'c=v', 'c=w', 'c=x', 'c=y', 'c=z']
['b-LOC' 'b-MISC' 'b-ORG' 'b-PER' 'i-LOC' 'i-MISC' 'i-ORG' 'i-PER' 'l-LOC'
 'l-MISC' 'l-ORG' 'l-PER' 'o' 'u-LOC' 'u-MISC' 'u-ORG' 'u-PER']
# of sents:  [14041, 3250, 3453]
# of feats:  85
# of lbls:  17
(1079622, 85) (272309, 85)
(1079622,) (272309,)
14041 3250
...building the model
...training the model
Epoch: 1 Loss: 428358.633620 Error: 0.201629 Time: 90.748480 seconds
Dev Err: 0.211440 Time: 6.398328 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
i-PER	1	0	0	110	8	0	20	1160	0	0	0	30	217	17	0	0	3
l-LOC	0	0	2	28	0	0	13	2	332	4	35	589	200	99	0	0	0
l-MISC	0	0	0	17	0	0	49	0	54	167	64	551	537	50	2	0	19
l-ORG	0	1	1	39	0	0	37	1	41	6	766	1102	505	142	0	26	12
l-PER	0	0	0	57	0	0	1	5	35	4	16	7812	242	44	0	26	29
o	28	6	135	888	1	0	236	107	11	10	38	762	213191	603	98	32	71
u-LOC	49	2	71	236	0	0	1	0	6	1	12	252	2121	7299	342	38	298
u-MISC	22	14	96	185	0	0	8	0	1	0	26	171	1686	1137	972	5	123
u-ORG	15	2	156	203	0	0	3	0	1	0	15	127	1658	997	176	2351	449
u-PER	4	1	4	157	0	0	0	1	0	0	4	268	1437	866	66	104	1116
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	98	0	20	82	0	0	1	0	0	0	0	1	23	12	2	0	0
B-MISC	55	30	35	81	0	0	2	0	0	0	0	3	57	11	2	0	3
B-ORG	48	1	175	147	0	0	1	0	0	0	0	1	37	18	4	10	3
B-PER	18	0	11	1161	0	0	6	2	0	0	0	7	16	3	1	0	0
I-LOC	0	0	0	3	0	0	12	1	1	0	0	1	8	0	0	0	0
I-MISC	0	0	3	22	0	0	28	1	0	0	0	15	46	0	0	0	0
I-ORG	1	0	8	41	0	0	122	3	3	0	2	34	69	9	0	7	0
I-PER	0	0	0	32	0	0	3	2	0	0	0	6	25	4	0	0	1
L-LOC	0	0	0	6	0	0	1	0	70	0	10	108	28	16	0	0	0
L-MISC	0	0	0	4	0	0	12	0	10	26	14	99	101	9	0	0	4
L-ORG	0	0	0	6	0	0	5	0	8	0	144	186	71	20	0	3	2
L-PER	0	0	0	8	0	0	0	0	7	1	2	1162	29	7	0	4	5
O	6	1	20	203	0	0	46	6	2	3	7	158	42175	98	10	7	17
U-LOC	4	1	11	28	0	0	0	0	1	0	2	37	254	1141	60	7	47
U-MISC	3	2	14	24	0	0	1	0	0	0	1	25	210	175	162	1	19
U-ORG	2	0	14	27	0	0	1	0	1	0	1	15	191	169	43	350	66
U-PER	1	0	2	19	0	0	0	0	0	0	1	36	200	139	11	13	182
f1:  (91.50734005685138, 58.31932773109244, 52.914266350389696, 55.48547570400639)
...training the model
Epoch: 1 Loss: 0.544360 Error: 0.140693 Time: 96.516377 seconds
Dev Err: 0.114278 Time: 6.396975 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	411	3	125	379	0	0	14	2	1	0	0	1	116	65	6	0	0
b-MISC	202	158	221	547	0	0	24	1	1	0	3	18	299	76	17	2	25
b-ORG	242	7	911	946	0	0	27	0	0	0	0	5	224	137	22	58	43
b-PER	84	0	85	6023	0	0	34	19	0	0	0	45	61	21	5	1	1
i-LOC	0	0	1	27	85	0	72	90	8	0	0	4	88	4	0	0	0
i-MISC	0	0	14	176	25	20	193	115	5	0	11	69	359	2	0	0	0
i-ORG	7	0	47	358	32	2	883	217	21	3	9	183	519	31	0	9	0
i-PER	0	0	0	116	8	0	28	1212	0	0	0	28	156	16	0	0	2
l-LOC	0	0	1	36	0	0	19	2	341	4	36	619	117	118	5	4	2
l-MISC	0	0	0	15	0	0	43	0	79	157	65	687	402	54	2	2	4
l-ORG	0	1	0	55	0	0	36	3	67	12	739	1298	302	139	0	25	2
l-PER	0	0	1	63	0	0	6	3	17	4	14	7941	101	48	0	51	22
o	30	3	195	1319	5	0	396	235	44	13	43	2318	210059	1296	88	60	113
u-LOC	56	2	84	330	0	0	6	0	10	0	17	404	1394	7805	269	31	320
u-MISC	15	0	125	220	0	0	13	0	1	0	15	288	1209	1618	818	8	116
u-ORG	14	2	106	229	0	0	5	0	1	1	23	207	1355	1138	122	2521	429
u-PER	1	0	6	193	0	0	1	1	0	0	6	418	1101	1046	51	98	1106
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	97	0	27	84	0	0	3	0	0	0	0	0	17	11	0	0	0
B-MISC	40	25	41	98	0	0	3	0	0	0	0	4	50	12	2	1	3
B-ORG	46	2	170	162	0	0	1	0	0	0	0	1	29	18	1	10	5
B-PER	18	0	16	1161	0	0	6	1	0	0	0	7	13	2	1	0	0
I-LOC	0	0	0	7	0	0	12	1	1	0	0	1	4	0	0	0	0
I-MISC	0	0	2	29	0	0	31	1	0	0	2	13	37	0	0	0	0
I-ORG	1	0	6	54	0	0	133	3	4	0	1	26	54	11	0	6	0
I-PER	0	0	0	34	0	0	3	8	0	0	0	4	20	4	0	0	0
L-LOC	0	0	0	6	0	0	4	0	69	0	10	112	20	17	0	1	0
L-MISC	0	0	0	4	0	0	9	0	14	25	13	125	77	10	0	1	1
L-ORG	0	0	0	11	0	0	5	0	11	0	131	211	52	21	0	3	0
L-PER	0	0	0	5	0	0	1	0	4	1	3	1181	10	8	0	9	3
O	9	0	33	289	0	0	85	13	5	3	6	486	41573	215	11	10	21
U-LOC	4	0	11	40	0	0	0	0	1	0	2	57	158	1221	44	6	49
U-MISC	2	0	18	26	0	0	2	0	0	0	3	37	141	255	133	2	18
U-ORG	1	0	14	27	0	0	1	0	0	0	6	28	148	195	28	369	63
U-PER	0	0	1	24	0	0	0	0	0	0	1	63	160	156	10	15	174
f1:  (90.47544877535921, 54.818134804344076, 53.880040664181635, 54.34503973340169)
...training the model
Epoch: 1 Loss: 0.557890 Error: 0.141502 Time: 96.201521 seconds
Dev Err: 0.173042 Time: 6.400435 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	311	0	73	554	0	0	16	2	1	0	0	24	67	74	1	0	0
b-MISC	167	153	111	756	0	0	21	3	1	0	4	32	225	81	26	0	14
b-ORG	248	0	701	1260	0	0	46	0	0	0	0	35	114	132	3	75	8
b-PER	31	0	33	6116	0	0	42	50	0	0	0	73	25	4	4	0	1
i-LOC	0	0	1	28	67	0	73	131	3	0	0	17	54	5	0	0	0
i-MISC	1	0	7	153	24	18	166	195	11	0	7	139	267	1	0	0	0
i-ORG	7	0	14	405	27	0	848	336	17	0	2	328	304	23	0	10	0
i-PER	0	0	0	135	6	0	13	1243	1	0	0	77	75	16	0	0	0
l-LOC	0	0	0	44	0	0	11	3	305	1	15	765	88	72	0	0	0
l-MISC	0	0	0	27	0	0	37	0	92	160	34	833	292	28	0	0	7
l-ORG	0	2	0	51	0	0	64	6	74	2	605	1667	146	52	0	10	0
l-PER	0	0	0	102	0	0	2	12	15	3	10	8053	19	33	0	16	6
o	41	12	127	4439	8	0	650	841	141	12	105	11882	195540	2224	70	42	83
u-LOC	64	0	52	886	0	0	3	0	9	0	15	1077	791	7455	169	19	188
u-MISC	32	2	49	675	0	0	6	1	2	0	27	679	695	1864	349	9	56
u-ORG	22	2	193	557	0	0	8	2	2	0	37	621	726	1270	52	2384	277
u-PER	2	0	11	366	0	0	1	1	0	0	6	796	743	1080	57	85	880
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	79	0	13	118	0	0	2	0	0	0	0	4	12	11	0	0	0
B-MISC	35	26	19	131	0	0	2	0	0	0	1	6	40	13	5	0	1
B-ORG	45	0	139	208	0	0	3	0	0	0	0	3	16	18	0	13	0
B-PER	6	0	6	1187	0	0	7	3	0	0	0	10	5	0	1	0	0
I-LOC	0	0	0	5	0	0	13	1	0	0	0	4	3	0	0	0	0
I-MISC	0	0	1	23	0	0	30	2	2	0	0	29	28	0	0	0	0
I-ORG	1	0	4	63	0	0	116	6	4	0	1	54	35	8	0	7	0
I-PER	0	0	0	26	0	0	1	10	0	0	0	17	15	4	0	0	0
L-LOC	0	0	0	8	0	0	1	1	65	0	3	136	16	9	0	0	0
L-MISC	0	0	0	5	0	0	6	0	18	23	7	152	61	5	0	0	2
L-ORG	0	0	0	12	0	0	10	0	15	0	103	261	35	7	0	2	0
L-PER	0	0	0	13	0	0	0	0	3	1	1	1196	2	6	0	2	1
O	5	4	20	965	1	0	154	48	18	2	19	2372	38751	366	9	8	17
U-LOC	10	0	6	131	0	0	0	0	2	0	1	148	88	1152	25	4	26
U-MISC	4	0	9	97	0	0	1	0	1	0	2	93	70	287	65	1	7
U-ORG	3	0	22	75	0	0	1	0	1	0	3	83	87	218	10	342	35
U-PER	1	0	1	48	0	0	0	0	0	0	2	116	108	159	12	13	144
f1:  (84.49437327206884, 45.4848990742146, 50.779396814639114, 47.986550316227685)
...training the model
Epoch: 1 Loss: 0.548419 Error: 0.142086 Time: 96.292520 seconds
Dev Err: 0.111091 Time: 6.427808 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	417	1	122	332	0	0	20	3	1	0	1	6	134	81	5	0	0
b-MISC	258	156	214	467	0	0	31	2	0	0	2	19	345	62	17	0	21
b-ORG	330	8	1020	742	0	0	23	0	0	0	0	8	246	116	32	41	56
b-PER	134	0	80	5925	0	0	38	53	0	0	0	44	84	17	4	0	0
i-LOC	0	1	0	16	86	0	71	90	10	0	0	2	98	5	0	0	0
i-MISC	1	0	17	142	27	14	181	121	10	0	7	87	381	1	0	0	0
i-ORG	14	0	36	281	38	1	902	226	44	2	12	177	552	27	0	9	0
i-PER	1	0	0	88	9	0	15	1228	0	0	0	30	178	15	0	0	2
l-LOC	0	0	3	30	0	0	25	2	394	3	25	595	142	79	5	1	0
l-MISC	0	1	1	13	0	0	34	0	104	167	51	676	424	33	0	1	5
l-ORG	0	4	1	35	0	0	49	3	118	14	763	1255	329	88	0	15	5
l-PER	0	0	0	38	0	0	6	5	35	1	18	7979	100	32	0	42	15
o	48	5	188	860	10	1	275	205	77	12	36	2246	211089	916	92	63	94
u-LOC	75	0	84	219	0	0	1	0	14	0	21	530	1746	7445	311	29	253
u-MISC	27	15	99	194	0	0	15	0	0	0	29	297	1468	1319	873	19	91
u-ORG	23	1	194	181	0	0	3	0	3	0	17	273	1386	986	124	2590	372
u-PER	5	2	10	136	0	0	0	1	0	0	11	438	1234	1019	57	105	1010
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	93	0	29	69	0	0	4	1	0	0	0	1	24	18	0	0	0
B-MISC	52	30	33	85	0	0	5	0	0	0	0	4	56	10	1	0	3
B-ORG	59	2	194	128	0	0	1	0	0	0	0	1	28	15	3	5	9
B-PER	25	0	19	1150	0	0	6	3	0	0	0	7	12	2	1	0	0
I-LOC	0	0	0	3	0	0	11	2	2	0	0	1	7	0	0	0	0
I-MISC	0	0	3	24	0	0	29	0	2	0	0	18	39	0	0	0	0
I-ORG	2	0	6	47	0	0	134	10	6	0	2	28	48	10	0	6	0
I-PER	0	0	0	24	0	0	2	16	0	0	0	6	21	4	0	0	0
L-LOC	0	0	1	5	0	0	2	0	82	0	4	107	25	13	0	0	0
L-MISC	0	0	0	4	0	0	6	0	20	27	10	125	82	4	0	0	1
L-ORG	0	1	0	6	0	0	7	0	22	0	135	204	52	15	0	2	1
L-PER	0	0	0	3	0	0	1	0	8	0	2	1185	8	8	0	7	3
O	10	2	36	184	0	0	65	12	11	3	6	451	41784	154	13	12	16
U-LOC	8	0	10	28	0	0	0	0	1	0	4	72	202	1172	49	3	44
U-MISC	4	2	14	27	0	0	3	0	0	0	4	43	176	196	150	6	12
U-ORG	3	0	24	27	0	0	0	0	1	0	2	39	154	170	25	380	55
U-PER	2	0	3	16	0	0	0	0	0	0	3	58	174	158	10	14	166
f1:  (90.91935672286905, 58.533896748116845, 53.98170111826499, 56.16571176729836)
...training the model
Epoch: 1 Loss: 0.544393 Error: 0.141402 Time: 96.438677 seconds
Dev Err: 0.107918 Time: 6.411665 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	396	1	130	332	0	0	12	2	0	0	1	2	138	103	6	0	0
b-MISC	283	170	214	444	0	0	15	0	0	0	0	14	336	65	29	2	22
b-ORG	306	5	965	830	0	0	12	0	0	0	0	4	244	142	20	68	26
b-PER	122	0	78	5982	0	0	31	33	0	0	0	39	74	13	5	1	1
i-LOC	0	3	0	17	79	1	71	75	11	0	0	5	110	7	0	0	0
i-MISC	7	0	11	180	30	16	158	94	17	0	1	63	408	4	0	0	0
i-ORG	18	0	43	320	34	2	838	210	30	0	12	177	592	33	1	11	0
i-PER	1	0	0	105	10	0	21	1178	0	0	0	36	197	15	0	0	3
l-LOC	0	0	0	30	0	0	24	4	416	2	15	521	160	128	4	0	0
l-MISC	0	0	1	18	0	0	55	0	119	167	56	539	454	82	6	2	11
l-ORG	0	0	0	44	0	0	58	2	144	7	710	1116	412	162	3	19	2
l-PER	0	0	0	57	0	0	4	9	58	3	13	7852	183	52	0	24	16
o	29	5	178	1041	4	1	277	179	81	14	31	1379	211905	892	91	61	49
u-LOC	63	1	90	235	0	0	6	0	8	0	12	247	1813	7709	329	47	168
u-MISC	27	14	116	201	0	0	10	0	1	0	21	177	1422	1452	930	15	60
u-ORG	15	0	152	193	0	0	5	0	2	0	17	139	1365	1097	155	2702	311
u-PER	8	0	5	138	0	0	0	0	0	0	0	279	1321	1191	68	111	907
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	93	0	27	73	0	0	3	0	0	0	0	0	23	20	0	0	0
B-MISC	61	27	37	78	0	0	3	0	0	0	0	3	51	11	5	1	2
B-ORG	54	1	176	149	0	0	1	0	0	0	0	0	28	21	1	10	4
B-PER	23	0	15	1159	0	0	6	3	0	0	0	6	10	2	1	0	0
I-LOC	0	0	0	5	0	0	12	0	1	0	0	1	7	0	0	0	0
I-MISC	1	0	2	33	0	0	22	0	4	0	0	12	41	0	0	0	0
I-ORG	2	0	4	48	0	0	130	8	3	0	2	30	56	9	0	7	0
I-PER	0	0	0	27	0	0	3	10	0	0	0	7	22	3	0	0	1
L-LOC	0	0	0	5	0	0	4	1	85	0	2	95	24	22	1	0	0
L-MISC	0	0	1	4	0	0	14	0	23	25	9	100	84	15	1	1	2
L-ORG	0	0	0	9	0	0	10	0	31	0	124	182	61	27	0	1	0
L-PER	0	0	0	5	0	0	1	0	12	0	3	1172	15	10	0	4	3
O	5	1	33	226	1	0	59	15	16	3	5	288	41928	143	13	12	11
U-LOC	9	0	11	30	0	0	1	0	0	0	2	34	212	1207	58	6	23
U-MISC	4	2	19	29	0	0	2	0	0	0	1	27	175	207	157	4	10
U-ORG	2	0	25	31	0	0	1	0	1	0	2	17	151	173	31	399	47
U-PER	2	0	0	19	0	0	0	0	0	0	0	37	188	175	14	14	155
f1:  (91.20945446049609, 57.244697914810196, 54.42222975262623, 55.797793798314956)
...training the model
Epoch: 1 Loss: 0.545299 Error: 0.141374 Time: 96.266913 seconds
Dev Err: 0.113558 Time: 6.391125 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	344	1	98	457	0	0	12	2	0	0	0	1	112	90	6	0	0
b-MISC	189	148	160	671	0	0	11	1	0	0	0	14	292	56	31	1	20
b-ORG	215	4	799	1111	0	0	15	0	0	0	0	3	226	123	28	76	22
b-PER	30	0	49	6156	0	0	13	38	0	0	0	36	44	10	1	0	2
i-LOC	0	0	0	28	77	2	58	98	9	0	0	2	101	4	0	0	0
i-MISC	0	2	20	190	22	18	152	140	11	0	6	62	366	0	0	0	0
i-ORG	8	0	37	447	24	2	775	252	27	0	11	157	542	30	0	9	0
i-PER	0	0	0	122	7	0	18	1218	0	0	0	32	152	17	0	0	0
l-LOC	0	0	1	43	0	0	10	3	386	1	14	587	143	111	3	2	0
l-MISC	0	0	0	38	0	0	42	0	102	154	29	671	410	56	0	0	8
l-ORG	0	4	0	53	0	0	52	4	109	5	632	1288	381	123	1	23	4
l-PER	0	0	0	86	0	0	7	3	23	1	8	7890	123	75	1	38	16
o	15	6	116	1604	1	0	315	225	53	7	23	1730	210744	1152	94	64	68
u-LOC	49	1	55	551	0	0	8	0	5	0	12	302	1468	7726	273	37	241
u-MISC	18	2	89	423	0	0	8	0	0	0	1	218	1213	1579	816	6	73
u-ORG	9	0	108	377	0	0	7	0	1	0	18	170	1413	1100	146	2512	292
u-PER	4	0	4	248	0	0	0	1	0	0	3	338	1146	1111	67	115	991
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	79	0	18	103	0	0	2	0	0	0	0	0	19	18	0	0	0
B-MISC	41	24	24	117	0	0	2	0	0	0	0	3	48	10	8	0	2
B-ORG	40	1	150	189	0	0	1	0	0	0	0	0	30	17	2	11	4
B-PER	4	0	10	1188	0	0	2	5	0	0	0	5	10	1	0	0	0
I-LOC	0	0	0	8	0	1	10	1	1	0	0	0	5	0	0	0	0
I-MISC	0	1	3	31	0	0	25	1	2	0	0	14	38	0	0	0	0
I-ORG	1	0	6	67	0	0	108	10	7	0	1	24	58	11	0	6	0
I-PER	0	0	0	34	0	0	3	8	0	0	0	5	19	4	0	0	0
L-LOC	0	0	0	6	0	0	2	1	83	0	2	106	23	16	0	0	0
L-MISC	0	0	0	8	0	0	7	0	24	22	6	124	75	11	0	0	2
L-ORG	0	1	0	12	0	0	6	1	20	0	112	215	57	17	0	3	1
L-PER	0	0	0	14	0	0	1	0	4	0	2	1170	10	15	0	7	2
O	4	1	19	330	0	0	64	17	8	2	3	377	41698	191	15	12	18
U-LOC	5	0	7	80	0	0	0	0	0	0	2	44	170	1196	48	5	36
U-MISC	2	0	14	56	0	0	1	0	0	0	0	32	148	240	132	2	10
U-ORG	1	0	13	51	0	0	2	0	0	0	2	21	158	187	33	368	44
U-PER	1	0	0	30	0	0	0	0	0	0	0	47	168	171	11	16	160
f1:  (90.52996378645692, 53.64521085880143, 53.236191121653675, 53.43991836040479)
...training the model
Epoch: 1 Loss: 0.542421 Error: 0.140495 Time: 96.286515 seconds
Dev Err: 0.112156 Time: 6.394293 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	403	0	82	414	0	0	13	4	0	0	2	8	131	60	6	0	0
b-MISC	279	162	129	546	0	0	22	4	0	0	3	18	329	47	37	0	18
b-ORG	329	2	803	987	0	0	17	0	0	0	0	7	258	103	17	68	31
b-PER	71	0	45	6066	0	0	18	65	0	0	0	35	65	8	4	0	2
i-LOC	0	1	0	17	75	0	58	108	4	0	0	15	97	4	0	0	0
i-MISC	4	1	6	143	26	24	157	145	14	0	7	85	377	0	0	0	0
i-ORG	17	0	29	307	28	1	827	273	19	0	8	212	573	18	0	9	0
i-PER	0	0	0	58	6	0	11	1263	0	0	0	41	170	16	0	0	1
l-LOC	0	0	0	32	0	0	13	5	340	0	11	645	175	80	3	0	0
l-MISC	0	0	0	23	0	0	39	1	87	151	26	713	420	42	0	0	8
l-ORG	0	0	0	38	0	0	39	4	76	0	585	1404	410	95	0	21	7
l-PER	0	0	0	46	0	0	1	3	21	0	9	7967	144	31	0	24	25
o	26	3	93	1264	4	1	275	278	78	8	27	2038	211292	611	83	51	85
u-LOC	68	0	53	451	0	0	7	0	5	0	10	504	1799	7288	272	28	243
u-MISC	43	9	83	315	0	0	14	0	0	0	6	286	1586	1236	763	14	91
u-ORG	18	0	87	279	0	0	2	0	1	0	8	235	1419	850	107	2758	389
u-PER	3	0	3	168	0	0	0	0	0	0	7	441	1367	901	44	93	1001
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	95	0	15	93	0	0	2	1	0	0	0	0	22	11	0	0	0
B-MISC	60	22	21	97	0	0	3	0	0	0	0	4	54	7	9	0	2
B-ORG	62	0	146	172	0	0	1	0	0	0	0	1	35	14	0	11	3
B-PER	14	0	8	1176	0	0	4	6	0	0	0	4	12	0	1	0	0
I-LOC	0	0	0	4	0	0	11	1	0	0	0	4	6	0	0	0	0
I-MISC	1	0	1	23	0	0	28	4	2	0	0	18	38	0	0	0	0
I-ORG	3	0	5	49	0	0	122	11	2	0	1	34	58	8	0	6	0
I-PER	0	0	0	17	0	0	2	22	0	0	0	8	20	4	0	0	0
L-LOC	0	0	0	5	0	0	1	1	72	0	3	119	24	14	0	0	0
L-MISC	0	0	0	6	0	0	7	0	17	23	6	132	79	7	0	0	2
L-ORG	0	0	0	7	0	0	5	0	13	0	102	234	65	15	0	2	2
L-PER	0	0	0	7	0	0	0	0	4	0	2	1183	15	5	0	4	5
O	5	1	17	271	0	0	64	22	13	2	5	410	41816	92	13	14	14
U-LOC	6	0	10	65	0	0	0	0	1	0	2	68	210	1144	45	6	36
U-MISC	9	2	8	44	0	0	2	0	0	0	0	39	205	183	127	4	14
U-ORG	2	0	10	39	0	0	0	0	1	0	1	29	166	135	22	416	59
U-PER	1	0	0	21	0	0	0	0	0	0	2	63	192	133	9	13	170
f1:  (90.79864491258128, 58.50768376226625, 53.541172483903765, 55.914359019729275)
...training the model
Epoch: 1 Loss: 0.544835 Error: 0.140997 Time: 96.759555 seconds
Dev Err: 0.114282 Time: 6.418659 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	344	0	140	418	0	0	22	4	0	0	2	6	104	77	6	0	0
b-MISC	151	177	303	491	0	0	51	1	2	0	3	15	289	75	18	0	18
b-ORG	175	4	1003	921	0	0	40	0	0	0	0	9	213	132	35	69	21
b-PER	50	0	88	6033	0	0	43	43	0	0	0	39	54	27	1	0	1
i-LOC	0	0	0	10	68	0	102	101	5	0	0	5	84	4	0	0	0
i-MISC	0	0	9	138	19	21	229	122	8	0	10	69	362	2	0	0	0
i-ORG	2	0	42	214	21	0	1054	216	11	0	20	200	505	26	0	10	0
i-PER	0	0	0	73	6	0	36	1252	0	0	0	36	147	16	0	0	0
l-LOC	0	0	0	20	0	0	30	2	319	1	47	653	121	111	0	0	0
l-MISC	0	0	0	13	0	0	51	0	75	167	83	685	391	43	0	0	2
l-ORG	0	0	0	27	0	0	61	3	58	5	801	1323	298	88	0	15	0
l-PER	0	0	0	26	0	0	11	4	13	0	21	8012	108	42	0	26	8
o	14	0	219	1060	2	0	474	211	49	10	104	2406	209948	1505	97	60	58
u-LOC	27	0	102	315	0	0	10	0	8	0	40	590	1472	7723	229	21	191
u-MISC	10	12	138	250	0	0	11	0	1	0	51	328	1219	1623	735	9	59
u-ORG	1	1	123	222	0	0	7	1	1	0	41	287	1336	1095	97	2597	344
u-PER	2	0	8	149	0	0	1	0	0	0	10	468	1155	1195	35	70	935
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	80	0	28	97	0	0	4	1	0	0	0	0	16	13	0	0	0
B-MISC	28	28	62	88	0	0	8	0	0	0	0	3	44	14	2	0	2
B-ORG	29	2	190	161	0	0	4	0	0	0	0	1	24	18	2	11	3
B-PER	6	0	18	1170	0	0	8	3	0	0	0	5	9	6	0	0	0
I-LOC	0	0	0	2	0	0	14	1	1	0	0	2	6	0	0	0	0
I-MISC	0	0	1	22	0	0	34	1	2	0	1	16	38	0	0	0	0
I-ORG	0	0	6	31	0	0	151	7	2	0	3	32	51	9	0	7	0
I-PER	0	0	0	20	0	0	4	20	0	0	0	7	18	4	0	0	0
L-LOC	0	0	0	3	0	0	5	1	66	0	10	117	19	18	0	0	0
L-MISC	0	0	0	4	0	0	11	0	16	26	15	127	73	7	0	0	0
L-ORG	0	0	0	5	0	0	8	0	14	0	133	221	48	14	0	2	0
L-PER	0	0	0	3	0	0	1	0	1	0	3	1193	9	9	0	5	1
O	3	0	38	237	0	0	109	13	7	2	19	479	41562	250	16	11	13
U-LOC	1	0	14	44	0	0	0	0	1	0	7	85	164	1205	40	3	29
U-MISC	1	2	21	32	0	0	2	0	0	0	9	47	141	256	116	3	7
U-ORG	0	0	21	31	0	0	2	0	0	0	8	37	147	177	19	384	54
U-PER	1	0	0	18	0	0	0	0	0	0	2	67	164	179	7	9	157
f1:  (90.49686538686188, 56.42984014209591, 53.82921043713995, 55.09885535900103)
...training the model
Epoch: 1 Loss: 0.549315 Error: 0.140816 Time: 96.583101 seconds
Dev Err: 0.120341 Time: 6.391857 seconds
