{'opt': 'adam', 'truncate': -1, 'feat': 'basic_seg_cap', 'activation': ['bi-relu'], 'drates': [0, 0], 'sample': False, 'epoch': 1, 'bias': [1], 'lr': 0.005, 'fepoch': 300, 'hidden': [50], 'data': '', 'norm': 7.0}
['c= ', 'c=!', 'c="', 'c=$', 'c=%', 'c=&', "c='", 'c=(', 'c=)', 'c=*', 'c=+', 'c=,', 'c=-', 'c=.', 'c=/', 'c=0', 'c=1', 'c=2', 'c=3', 'c=4', 'c=5', 'c=6', 'c=7', 'c=8', 'c=9', 'c=:', 'c=;', 'c==', 'c=?', 'c=@', 'c=A', 'c=B', 'c=C', 'c=D', 'c=E', 'c=F', 'c=G', 'c=H', 'c=I', 'c=J', 'c=K', 'c=L', 'c=M', 'c=N', 'c=O', 'c=P', 'c=Q', 'c=R', 'c=S', 'c=T', 'c=U', 'c=V', 'c=W', 'c=X', 'c=Y', 'c=Z', 'c=[', 'c=]', 'c=`', 'c=a', 'c=b', 'c=c', 'c=d', 'c=e', 'c=f', 'c=g', 'c=h', 'c=i', 'c=j', 'c=k', 'c=l', 'c=m', 'c=n', 'c=o', 'c=p', 'c=q', 'c=r', 'c=s', 'c=t', 'c=u', 'c=v', 'c=w', 'c=x', 'c=y', 'c=z', 'is_capital', 'isspace', 'wend', 'wstart']
['b-LOC' 'b-MISC' 'b-ORG' 'b-PER' 'i-LOC' 'i-MISC' 'i-ORG' 'i-PER' 'l-LOC'
 'l-MISC' 'l-ORG' 'l-PER' 'o' 'u-LOC' 'u-MISC' 'u-ORG' 'u-PER']
# of sents:  [14041, 3250, 3453]
# of feats:  89
# of lbls:  17
(1079622, 89) (272309, 89)
(1079622,) (272309,)
14041 3250
...building the model
...training the model
Epoch: 1 Loss: 256391.778696 Error: 0.200156 Time: 136.234187 seconds
Dev Err: 0.376337 Time: 8.707991 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-MISC	263	240	242	473	0	0	6	2	0	0	4	18	209	39	53	7	38
b-ORG	284	27	1178	812	0	2	13	0	0	0	0	0	110	61	52	34	49
b-PER	120	9	51	6065	0	2	17	26	0	0	0	34	21	24	1	0	9
i-LOC	0	0	0	17	114	4	78	93	12	0	3	7	51	0	0	0	0
i-MISC	7	1	11	132	52	47	228	125	16	1	20	46	300	0	0	0	3
i-ORG	16	0	91	222	58	18	1117	179	24	2	49	80	407	39	2	13	4
i-PER	0	0	0	37	30	0	22	1296	0	0	0	48	107	22	0	0	4
l-LOC	0	0	0	4	0	0	15	5	511	5	93	505	84	68	8	3	3
l-MISC	0	0	0	15	0	2	12	2	195	173	223	443	333	91	0	3	18
l-ORG	0	0	0	11	0	5	39	0	158	9	1217	840	159	156	0	63	22
l-PER	0	0	0	22	0	0	9	2	161	0	67	7833	31	72	0	34	40
o	45	13	125	1049	18	7	212	243	27	0	73	521	212088	1084	205	127	380
u-LOC	53	15	34	195	0	0	0	0	18	0	5	96	931	7953	513	85	830
u-MISC	35	4	44	299	0	0	5	0	4	0	8	187	618	1320	1556	51	315
u-ORG	17	13	45	94	0	1	2	0	2	0	18	125	651	1024	193	2907	1061
u-PER	0	9	2	102	0	0	0	1	0	0	3	289	751	1127	78	152	1514
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	108	1	11	94	0	0	2	1	0	0	0	1	11	6	3	1	0
B-MISC	55	41	33	84	0	0	1	0	0	0	1	4	38	6	8	2	6
B-ORG	55	3	203	143	0	0	1	0	0	0	0	0	15	7	4	7	7
B-PER	23	2	8	1170	0	0	2	5	0	0	0	5	4	5	0	0	1
I-LOC	0	0	0	3	0	0	10	1	3	0	0	2	7	0	0	0	0
I-MISC	1	0	1	20	0	3	31	8	3	0	3	8	36	0	0	0	1
I-ORG	3	0	14	30	0	1	138	6	4	0	8	14	66	8	0	7	0
I-PER	0	0	0	6	0	0	2	25	0	0	0	11	23	5	0	0	1
L-LOC	0	0	0	1	0	0	2	1	105	1	16	86	17	9	1	0	0
L-MISC	0	0	0	2	0	1	2	0	48	22	37	80	68	14	0	1	4
L-ORG	0	0	0	2	0	2	6	0	32	0	199	123	38	30	0	13	0
L-PER	0	0	0	3	0	0	1	0	29	0	9	1158	5	8	0	4	8
O	8	2	17	221	0	1	22	3	6	0	13	84	42090	178	29	26	59
U-LOC	8	2	7	24	0	0	0	0	5	0	1	13	124	1202	79	13	115
U-MISC	6	0	5	41	0	0	1	0	0	0	2	26	78	182	242	15	39
U-ORG	4	3	4	11	0	0	1	0	1	0	2	13	77	145	34	440	145
U-PER	0	2	0	12	0	0	0	0	0	0	0	40	118	165	14	19	234
f1:  (92.24718663603441, 58.191436601091084, 59.640799728905456, 58.90720441804033)
...training the model
Epoch: 1 Loss: 0.414565 Error: 0.116869 Time: 136.899235 seconds
Dev Err: 0.102920 Time: 8.741362 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	504	5	55	402	0	0	11	2	0	0	1	1	60	65	13	1	3
b-MISC	326	171	195	532	0	0	4	0	1	0	3	18	185	69	52	4	34
b-ORG	381	15	986	877	0	0	8	0	0	0	2	1	102	113	38	41	58
b-PER	201	3	39	5997	1	1	7	21	0	0	0	35	19	36	3	8	8
i-LOC	0	0	0	25	124	6	57	94	14	0	0	9	50	0	0	0	0
i-MISC	7	5	10	151	75	38	159	160	36	1	9	59	276	0	0	0	3
i-ORG	11	0	38	305	86	24	917	231	54	1	36	116	406	84	0	11	1
i-PER	0	0	0	48	49	0	13	1275	0	0	0	48	103	23	0	0	7
l-LOC	0	0	0	11	0	1	6	4	544	1	47	511	74	94	7	3	1
l-MISC	0	0	0	22	0	1	14	1	272	145	136	517	285	93	0	5	19
l-ORG	0	0	0	11	0	5	39	0	259	12	978	992	129	174	0	60	20
l-PER	0	0	0	16	0	0	2	3	292	0	34	7698	25	149	1	32	19
o	68	4	97	1145	33	6	121	326	88	2	43	877	210482	2192	239	113	381
u-LOC	52	5	14	157	0	0	0	0	15	0	3	93	697	8668	323	92	609
u-MISC	41	1	46	344	0	1	4	0	0	0	3	183	412	1721	1438	44	208
u-ORG	20	6	7	91	0	0	1	2	3	0	12	119	449	1470	143	2956	874
u-PER	0	2	0	76	0	0	0	2	8	0	1	259	608	1506	57	147	1362
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	118	0	7	89	0	0	2	0	0	0	0	0	11	10	2	0	0
B-MISC	69	28	28	91	0	0	1	0	0	0	1	3	35	11	7	1	4
B-ORG	74	2	167	154	0	0	1	0	0	0	0	0	16	14	4	6	7
B-PER	36	0	6	1160	0	0	1	2	0	0	0	5	5	7	1	1	1
I-LOC	0	0	0	5	0	0	9	0	3	0	0	2	7	0	0	0	0
I-MISC	1	1	1	23	0	2	25	10	6	0	0	9	36	0	0	0	1
I-ORG	2	0	4	41	0	3	119	5	10	0	6	21	66	15	0	7	0
I-PER	0	0	0	10	0	0	0	23	0	0	0	12	21	5	0	0	2
L-LOC	0	0	0	2	0	0	1	1	111	0	8	88	15	12	1	0	0
L-MISC	0	0	0	4	0	0	2	0	59	18	25	91	60	16	0	1	3
L-ORG	0	0	0	1	0	0	6	0	51	1	161	150	33	31	0	8	3
L-PER	0	0	0	2	0	0	0	0	55	0	5	1132	5	18	0	5	3
O	15	0	14	220	0	1	12	7	19	0	7	144	41840	368	31	18	63
U-LOC	8	1	3	23	0	0	0	0	2	0	0	12	95	1304	48	15	82
U-MISC	7	0	5	50	0	0	1	0	0	0	0	26	51	229	230	13	25
U-ORG	5	1	1	12	0	0	0	1	1	0	2	13	58	213	24	434	115
U-PER	0	1	0	8	0	0	0	0	2	0	0	33	99	215	11	22	213
f1:  (91.62415793777501, 55.344827586206904, 59.82717722805828, 57.49877870053738)
...training the model
Epoch: 1 Loss: 0.414390 Error: 0.116538 Time: 136.719416 seconds
Dev Err: 0.095766 Time: 8.731090 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	462	11	81	426	0	0	9	2	3	0	1	10	58	48	9	3	0
b-MISC	250	211	283	478	0	0	4	1	0	0	3	16	199	55	51	4	39
b-ORG	215	15	1176	840	0	0	12	0	0	0	2	2	96	110	37	82	35
b-PER	76	6	33	6149	0	1	8	14	0	0	0	32	15	41	0	0	4
i-LOC	0	0	0	30	113	1	82	84	13	0	2	4	50	0	0	0	0
i-MISC	5	5	12	192	46	31	226	123	15	0	28	47	259	0	0	0	0
i-ORG	11	0	58	269	50	7	1142	198	35	0	64	81	325	72	0	9	0
i-PER	0	0	0	72	27	0	18	1289	0	0	0	39	91	26	0	0	4
l-LOC	0	0	0	17	0	0	8	1	563	5	111	463	67	59	7	3	0
l-MISC	0	0	0	22	0	1	6	1	215	173	269	473	261	72	0	6	11
l-ORG	0	0	0	16	0	2	42	0	165	2	1290	853	106	137	0	53	13
l-PER	0	0	0	16	0	0	1	2	117	0	60	7929	19	84	0	26	17
o	25	11	120	1234	10	10	178	251	36	2	103	661	211260	1662	219	158	277
u-LOC	31	14	12	90	0	0	0	0	16	0	6	107	672	8896	380	117	387
u-MISC	25	5	56	271	0	0	5	0	10	1	6	211	463	1979	1184	54	176
u-ORG	19	17	12	69	0	1	3	0	4	0	21	113	467	1484	136	3084	723
u-PER	0	14	1	71	0	0	0	2	0	0	4	314	644	1458	71	170	1279
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	109	2	9	96	0	0	1	0	1	0	0	1	11	7	2	0	0
B-MISC	53	35	43	88	0	0	1	0	0	0	1	3	34	8	7	1	5
B-ORG	45	4	194	149	0	0	1	0	0	0	0	0	14	15	4	15	4
B-PER	15	1	4	1186	0	0	1	2	0	0	0	5	4	7	0	0	0
I-LOC	0	0	0	7	0	0	11	0	2	0	0	1	5	0	0	0	0
I-MISC	1	2	1	30	0	0	27	4	3	0	4	9	34	0	0	0	0
I-ORG	2	0	9	36	0	2	145	6	4	0	11	11	55	11	0	7	0
I-PER	0	0	0	16	0	0	2	20	0	0	0	8	20	6	0	0	1
L-LOC	0	0	0	4	0	0	1	0	115	1	17	78	14	8	1	0	0
L-MISC	0	0	0	4	0	0	0	0	53	23	46	81	57	11	0	1	3
L-ORG	0	0	0	2	0	0	7	0	32	0	210	129	31	23	0	10	1
L-PER	0	0	0	2	0	0	1	0	21	0	12	1164	6	13	0	4	2
O	4	1	19	243	0	3	23	5	9	0	17	107	41970	260	32	25	41
U-LOC	5	3	3	9	0	0	0	0	2	0	1	16	91	1334	60	18	51
U-MISC	5	0	6	35	0	0	1	0	1	0	1	27	60	281	184	13	23
U-ORG	6	4	2	9	0	0	1	0	1	0	3	14	61	208	21	455	95
U-PER	0	3	0	8	0	0	0	0	0	0	0	47	109	206	14	22	195
f1:  (92.16736108406994, 57.585487237116716, 60.776008132836324, 59.13774626988707)
...training the model
Epoch: 1 Loss: 0.415198 Error: 0.115790 Time: 136.505109 seconds
Dev Err: 0.096471 Time: 8.739706 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	459	7	70	419	0	0	9	2	1	0	1	12	72	48	13	1	9
b-MISC	264	226	239	482	0	1	5	0	0	0	4	17	208	35	53	5	55
b-ORG	243	18	1168	824	0	0	10	0	0	0	1	3	114	110	57	32	42
b-PER	109	0	33	6083	0	1	7	18	1	0	0	55	18	32	0	6	16
i-LOC	0	0	0	21	109	1	68	100	14	0	0	11	55	0	0	0	0
i-MISC	6	1	11	124	44	35	189	159	24	1	19	87	285	1	0	0	3
i-ORG	10	0	31	228	52	14	1027	238	41	0	54	151	392	75	0	8	0
i-PER	0	0	0	43	27	1	9	1299	0	0	0	59	97	23	0	0	8
l-LOC	0	0	0	7	0	0	3	8	512	4	50	561	87	58	9	2	3
l-MISC	0	0	0	11	0	1	1	1	215	154	162	592	282	66	0	3	22
l-ORG	0	0	0	13	0	0	25	1	178	1	1045	1097	129	106	0	45	39
l-PER	0	0	0	14	0	0	0	2	183	0	31	7890	29	59	0	25	38
o	29	2	89	947	13	7	118	252	39	3	48	1064	211677	1258	215	79	377
u-LOC	40	5	12	98	0	0	0	0	28	0	3	173	770	8459	418	81	641
u-MISC	31	16	45	286	0	0	5	0	7	0	6	218	488	1603	1352	45	344
u-ORG	20	5	11	75	0	0	2	1	0	0	15	99	522	1268	151	2958	1026
u-PER	0	5	0	50	0	0	0	1	5	0	0	302	644	1247	43	145	1586
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	104	0	11	95	0	0	1	0	0	0	0	2	14	9	2	0	1
B-MISC	57	37	31	88	0	0	1	0	0	0	1	3	39	5	7	2	8
B-ORG	50	3	198	142	0	0	1	0	0	0	0	0	19	16	5	5	6
B-PER	25	0	4	1172	0	0	1	1	0	0	0	9	4	5	0	1	3
I-LOC	0	0	0	5	0	0	10	0	2	0	0	2	7	0	0	0	0
I-MISC	1	0	1	21	0	1	25	9	4	0	4	14	34	0	0	0	1
I-ORG	2	0	3	31	0	4	128	8	9	0	8	21	67	11	0	7	0
I-PER	0	0	0	8	0	0	0	24	0	0	0	14	20	5	0	0	2
L-LOC	0	0	0	1	0	0	1	2	106	1	7	95	18	7	1	0	0
L-MISC	0	0	0	3	0	0	0	0	50	20	28	100	62	10	0	1	5
L-ORG	0	0	0	1	0	0	6	0	37	0	170	165	33	18	0	9	6
L-PER	0	0	0	2	0	0	0	0	31	0	4	1165	6	8	0	4	5
O	5	0	14	193	0	1	13	3	7	0	6	169	42050	200	29	14	55
U-LOC	5	2	2	14	0	0	0	0	6	0	1	23	96	1280	63	9	92
U-MISC	5	2	6	38	0	0	1	0	0	0	1	31	61	228	202	13	49
U-ORG	6	0	1	10	0	0	0	0	0	0	4	10	68	188	23	431	139
U-PER	0	2	0	4	0	0	0	0	1	0	0	39	106	173	8	22	249
f1:  (92.16346715470581, 58.839093765503556, 60.28464927143341, 59.553100677881)
...training the model
Epoch: 1 Loss: 0.414251 Error: 0.115811 Time: 136.529227 seconds
Dev Err: 0.101069 Time: 8.736624 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	427	16	55	480	0	0	7	4	3	0	0	11	54	55	9	2	0
b-MISC	236	229	202	565	0	0	4	0	0	0	4	16	179	44	55	5	55
b-ORG	244	21	961	1004	0	0	14	0	0	0	2	0	94	110	48	88	36
b-PER	57	5	41	6146	0	1	6	21	0	0	0	48	14	25	0	0	15
i-LOC	0	0	0	26	102	7	57	113	12	0	0	10	52	0	0	0	0
i-MISC	5	10	9	167	41	43	152	185	16	4	23	78	253	0	0	0	3
i-ORG	10	0	21	352	37	23	882	295	23	0	56	146	382	83	0	8	3
i-PER	0	0	0	39	17	1	7	1324	0	0	0	45	102	22	0	2	7
l-LOC	0	0	0	11	0	0	2	6	473	10	36	628	67	63	5	3	0
l-MISC	0	0	0	16	0	1	2	2	170	171	130	668	257	72	0	2	19
l-ORG	0	0	0	13	0	0	27	0	132	14	951	1211	116	141	0	48	26
l-PER	0	0	0	14	0	0	0	4	136	0	34	7932	27	43	0	25	56
o	16	15	81	1283	5	12	99	307	31	10	48	866	210885	1715	216	128	500
u-LOC	34	6	11	148	0	0	0	0	13	0	4	171	682	8390	343	68	858
u-MISC	18	3	40	356	0	0	5	0	5	2	2	271	380	1651	1320	45	348
u-ORG	14	8	11	91	0	0	0	3	3	0	13	145	489	1252	122	2892	1110
u-PER	0	7	0	92	0	0	0	1	0	2	0	336	582	1193	49	107	1659
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	96	2	9	108	0	0	1	1	1	0	0	1	10	8	2	0	0
B-MISC	51	41	32	97	0	0	0	0	0	0	1	3	32	5	7	2	8
B-ORG	47	3	168	174	0	0	1	0	0	0	0	0	14	12	6	14	6
B-PER	11	1	6	1187	0	0	1	3	0	0	0	7	3	3	0	0	3
I-LOC	0	0	0	5	0	1	8	1	2	0	0	2	7	0	0	0	0
I-MISC	1	1	1	25	0	2	20	14	3	0	4	11	32	0	0	0	1
I-ORG	2	0	3	47	0	5	110	13	4	0	9	21	65	13	0	7	0
I-PER	0	0	0	7	0	1	0	27	0	0	0	10	21	5	0	0	2
L-LOC	0	0	0	2	0	0	0	1	98	3	4	108	15	8	0	0	0
L-MISC	0	0	0	3	0	0	0	0	40	22	24	114	59	12	0	1	4
L-ORG	0	0	0	1	0	0	4	0	25	2	158	185	34	23	0	9	4
L-PER	0	0	0	2	0	0	0	0	25	0	3	1168	8	4	0	4	11
O	4	2	9	256	0	2	9	3	8	1	7	137	41928	274	26	22	71
U-LOC	4	2	3	21	0	0	0	0	2	0	1	24	86	1262	55	10	123
U-MISC	2	1	6	49	0	0	1	0	1	0	1	37	45	227	211	13	43
U-ORG	3	2	1	9	0	0	0	1	1	0	2	14	63	173	22	433	156
U-PER	0	2	0	14	0	0	0	0	0	1	0	46	97	159	6	15	264
f1:  (91.848058876212, 56.52104591836735, 60.064384954252795, 58.23886972235912)
...training the model
Epoch: 1 Loss: 0.414345 Error: 0.115828 Time: 136.152662 seconds
Dev Err: 0.107205 Time: 8.725128 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	491	5	42	430	0	0	12	3	4	0	0	12	61	46	6	0	11
b-MISC	286	208	173	566	0	0	11	5	0	0	0	26	177	43	46	5	48
b-ORG	334	6	976	930	0	0	17	0	1	0	2	4	83	89	47	99	34
b-PER	102	4	54	6061	0	0	9	38	0	0	0	55	17	17	1	2	19
i-LOC	0	0	0	19	111	1	65	112	13	0	1	8	49	0	0	0	0
i-MISC	3	9	6	133	51	27	184	197	21	2	14	75	262	1	0	0	4
i-ORG	12	0	54	252	50	12	996	304	29	0	42	137	336	88	0	9	0
i-PER	0	0	0	31	20	3	12	1330	0	0	0	49	89	22	0	0	10
l-LOC	0	0	0	10	0	0	4	9	481	5	55	592	70	56	9	13	0
l-MISC	0	0	0	21	0	1	13	6	180	153	116	672	256	70	0	2	20
l-ORG	0	0	0	19	0	1	41	3	173	2	1008	1126	107	107	0	52	40
l-PER	0	0	1	14	0	0	0	3	114	0	35	7967	18	53	0	29	37
o	56	4	96	1374	23	7	119	458	32	5	62	1641	209006	2383	205	139	607
u-LOC	49	7	12	204	0	0	1	0	34	0	1	324	582	8326	272	102	814
u-MISC	31	5	43	421	0	0	8	0	16	0	0	357	356	1611	1204	52	342
u-ORG	26	3	8	115	0	0	2	3	4	0	24	186	378	1135	113	3041	1115
u-PER	0	4	1	104	0	0	0	1	5	0	0	308	481	1222	46	126	1730
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	111	1	8	94	0	0	2	1	1	0	0	1	11	7	1	0	1
B-MISC	58	36	22	101	0	0	2	1	0	0	0	5	34	5	6	1	8
B-ORG	65	2	167	159	0	0	2	0	0	0	0	1	13	11	5	17	3
B-PER	19	1	8	1171	0	0	1	7	0	0	0	7	5	3	0	0	3
I-LOC	0	0	0	4	0	0	11	1	2	0	0	2	6	0	0	0	0
I-MISC	0	2	1	21	0	0	26	13	3	0	3	10	35	0	0	0	1
I-ORG	2	0	8	37	0	3	120	15	7	0	7	20	59	13	0	8	0
I-PER	0	0	0	8	0	1	0	27	0	0	0	11	19	5	0	0	2
L-LOC	0	0	0	2	0	0	1	1	100	1	7	104	15	7	1	0	0
L-MISC	0	0	0	4	0	0	1	1	38	20	20	120	58	12	0	1	4
L-ORG	0	0	0	2	0	0	7	0	34	0	163	172	33	18	0	10	6
L-PER	0	0	0	2	0	0	0	0	20	0	4	1176	6	8	0	4	5
O	13	1	14	256	0	0	12	10	7	1	11	262	41625	399	28	27	93
U-LOC	6	1	2	31	0	0	0	0	8	0	0	44	71	1251	42	15	122
U-MISC	5	0	6	54	0	0	3	0	4	0	0	46	47	228	186	12	46
U-ORG	4	1	1	15	0	0	0	1	1	0	5	21	51	169	20	448	143
U-PER	0	1	0	12	0	0	0	0	2	0	0	39	72	168	8	19	283
f1:  (91.28149215373233, 55.29430084085954, 60.16604540833615, 57.627393703343074)
...training the model
Epoch: 1 Loss: 0.411443 Error: 0.114743 Time: 136.696924 seconds
Dev Err: 0.097812 Time: 8.727363 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	463	8	58	429	0	0	12	2	4	0	2	10	62	57	7	2	7
b-MISC	288	230	214	497	0	0	11	1	0	0	4	20	185	46	45	4	49
b-ORG	264	18	1133	828	0	0	24	0	0	0	0	0	86	82	54	101	32
b-PER	63	6	56	6120	0	0	17	19	0	0	0	39	13	37	0	0	9
i-LOC	0	0	0	22	108	2	75	100	13	0	2	5	52	0	0	0	0
i-MISC	4	14	11	150	51	44	190	144	22	2	23	63	265	3	0	0	3
i-ORG	11	0	35	204	45	7	1181	227	21	1	54	113	329	82	0	9	2
i-PER	0	0	0	52	11	1	18	1314	0	0	0	45	94	27	0	0	4
l-LOC	0	0	0	11	0	0	11	1	506	6	88	540	78	52	6	0	5
l-MISC	0	0	0	10	0	1	12	2	204	180	196	557	259	63	0	6	20
l-ORG	0	0	0	11	0	4	44	1	170	12	1249	898	108	99	0	50	33
l-PER	0	0	0	15	0	0	4	2	47	0	49	8021	15	36	3	26	53
o	44	9	95	1256	19	13	181	316	71	18	106	1063	210649	1571	191	113	502
u-LOC	67	3	16	178	0	0	0	0	29	0	5	226	599	8432	345	98	730
u-MISC	26	22	49	425	0	0	5	0	19	0	1	294	389	1503	1278	53	382
u-ORG	25	5	11	97	0	0	0	2	3	2	27	188	357	1089	143	3099	1105
u-PER	1	1	0	91	0	0	0	1	2	1	3	348	450	1243	41	179	1667
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	106	1	11	96	0	0	2	0	1	0	0	1	10	9	1	0	1
B-MISC	59	39	30	89	0	0	3	0	0	0	1	4	32	7	7	1	7
B-ORG	51	4	195	145	0	0	2	0	0	0	0	0	12	10	5	16	5
B-PER	13	1	9	1181	0	0	2	2	0	0	0	6	3	7	0	0	1
I-LOC	0	0	0	5	0	0	10	1	3	0	0	1	6	0	0	0	0
I-MISC	1	3	1	22	0	2	23	7	3	0	4	11	36	1	0	0	1
I-ORG	2	0	5	27	0	1	141	9	4	0	7	21	61	13	0	8	0
I-PER	0	0	0	13	0	0	1	22	0	0	0	8	22	6	0	0	1
L-LOC	0	0	0	2	0	0	2	0	103	1	12	94	17	7	0	0	1
L-MISC	0	0	0	2	0	0	2	0	45	23	34	99	58	11	0	1	4
L-ORG	0	0	0	1	0	2	6	0	36	0	199	137	32	17	0	10	5
L-PER	0	0	0	2	0	0	1	0	10	0	9	1181	4	5	0	4	9
O	10	1	14	255	0	2	20	3	13	2	17	168	41884	253	25	19	73
U-LOC	11	0	3	26	0	0	0	0	7	0	1	24	80	1284	47	14	96
U-MISC	3	2	6	57	0	0	1	0	4	0	0	39	48	207	201	17	52
U-ORG	5	1	1	13	0	0	0	1	1	0	2	17	46	158	23	464	148
U-PER	0	0	0	10	0	0	0	0	1	0	0	46	72	178	8	25	264
f1:  (92.0700128499669, 58.04496890448094, 61.67400881057269, 59.80448533640023)
...training the model
Epoch: 1 Loss: 0.408305 Error: 0.114751 Time: 137.278077 seconds
Dev Err: 0.097268 Time: 8.720767 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	451	14	62	442	0	0	9	3	4	0	0	8	61	52	6	8	3
b-MISC	255	262	219	505	0	1	6	0	0	0	4	17	187	54	42	6	36
b-ORG	238	25	1083	878	0	0	13	0	0	0	0	0	96	108	55	101	25
b-PER	54	6	37	6147	0	1	12	27	0	0	0	43	14	26	0	1	11
i-LOC	0	0	0	16	108	6	70	103	16	0	1	9	50	0	0	0	0
i-MISC	5	13	8	134	45	55	178	169	29	5	12	80	252	1	0	0	3
i-ORG	11	0	36	246	45	20	1076	259	28	2	52	120	329	86	0	11	0
i-PER	0	0	0	29	20	2	17	1330	0	0	0	56	82	22	0	0	8
l-LOC	0	0	0	5	0	0	6	9	536	16	67	526	65	61	7	6	0
l-MISC	0	0	0	18	0	1	2	2	233	209	159	545	243	75	0	5	18
l-ORG	0	0	0	9	0	0	24	0	204	32	1124	965	109	113	1	67	31
l-PER	0	0	0	14	0	0	0	4	106	2	33	7979	21	50	0	30	32
o	23	22	80	1156	17	19	138	349	59	15	74	1138	210905	1508	201	138	375
u-LOC	30	9	8	145	0	0	0	0	18	0	3	113	677	8702	334	101	588
u-MISC	21	16	45	323	0	0	5	0	8	7	1	227	427	1780	1230	47	309
u-ORG	14	9	11	96	0	0	0	2	3	0	14	111	506	1262	102	3064	959
u-PER	0	9	0	92	0	0	0	0	0	0	0	250	568	1343	46	159	1561
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	105	3	11	97	0	0	1	1	1	0	0	1	11	7	0	1	0
B-MISC	51	47	30	90	0	0	2	0	0	0	1	3	34	10	5	1	5
B-ORG	50	4	177	155	0	0	1	0	0	0	0	0	17	16	6	14	5
B-PER	12	1	5	1187	0	0	1	4	0	0	0	6	3	4	0	0	2
I-LOC	0	0	0	3	0	0	10	1	3	0	0	2	7	0	0	0	0
I-MISC	1	3	1	19	0	3	22	13	6	0	1	13	32	0	0	0	1
I-ORG	2	0	4	36	0	3	130	13	5	0	8	18	60	13	0	7	0
I-PER	0	0	0	5	0	0	2	28	0	0	0	14	17	5	0	0	2
L-LOC	0	0	0	1	0	0	1	2	109	4	11	89	14	7	1	0	0
L-MISC	0	0	0	4	0	0	0	0	49	31	28	96	53	13	0	1	4
L-ORG	0	0	0	1	0	0	4	0	41	4	184	144	33	17	0	12	5
L-PER	0	0	0	2	0	0	0	0	21	0	5	1172	7	6	0	5	7
O	4	3	8	237	0	4	13	11	9	1	13	184	41917	245	27	25	58
